variant,lr_stage,jobid,epoch,train_loss,val_ic,val_ic_ir,hit@50,spread@50
C,3em4,8691213,23,-0.094480,0.024130,0.1810,0.6350,+0.003000
C,3em4,8691213,24,-0.105890,0.022650,0.1620,0.5990,+0.002330
C,3em4,8691213,25,-0.092310,0.023110,0.1690,0.6190,+0.002680
C,3em4,8691213,26,-0.100530,0.022960,0.1650,0.6350,+0.002650
C,3em4,8691213,27,-0.111420,0.022830,0.1740,0.6040,+0.002370
C,3em4,8691213,28,-0.104350,0.021720,0.1660,0.6400,+0.002370
C,3em4,8691213,29,-0.118900,0.020430,0.1440,0.5840,+0.001890
C,3em4,8691213,30,-0.101380,0.020540,0.1500,0.5790,+0.002280
C,3em4,8691213,31,-0.107470,0.019680,0.1470,0.5890,+0.002120
C,3em4,8691213,32,-0.126890,0.017130,0.1300,0.5940,+0.001820
C,3em4,8691213,33,-0.116130,0.017520,0.1300,0.6090,+0.002100
C,3em4,8691213,34,-0.124110,0.018630,0.1460,0.5840,+0.001950
C,3em4,8691213,35,-0.106160,0.017690,0.1360,0.5790,+0.001710
C,3em4,8691213,36,-0.122560,0.015780,0.1240,0.5580,+0.001630
C,3em4,8691213,37,-0.133890,0.017050,0.1310,0.5790,+0.001530
C,3em4,8691213,38,-0.129190,0.017560,0.1290,0.5690,+0.001870
C,3em4,8691213,39,-0.131050,0.016420,0.1280,0.5940,+0.002050
C,3em4,8691213,40,-0.109260,0.016300,0.1150,0.5790,+0.001560
C,3em4,8691213,41,-0.117840,0.016370,0.1250,0.5630,+0.001640
C,3em4,8691213,42,-0.136640,0.015730,0.1180,0.5530,+0.001240
C,3em4,8691213,43,-0.119270,0.014400,0.1080,0.5330,+0.000840
C,3em4,8691213,44,-0.137720,0.013870,0.1170,0.5790,+0.001650
C,3em4,8691213,45,-0.117730,0.012620,0.0990,0.5480,+0.000880
C,3em4,8691213,46,-0.123970,0.015780,0.1360,0.5580,+0.001450
C,3em4,8691213,47,-0.138410,0.013690,0.1030,0.5230,+0.000350
C,3em4,8691213,48,-0.128270,0.014370,0.1130,0.5690,+0.001000
C,3em4,8691213,49,-0.142980,0.013740,0.0980,0.5330,+0.000920
C,3em4,8691213,50,-0.128230,0.014540,0.1100,0.5740,+0.001240
C,3em4,8691213,51,-0.133630,0.014550,0.1120,0.5080,+0.001080
C,3em4,8691213,52,-0.145230,0.012490,0.0920,0.5180,+0.000820
C,3em4,8691213,53,-0.130280,0.012920,0.0960,0.5330,+0.001080
C,3em4,8691213,54,-0.150840,0.015120,0.1250,0.5740,+0.001440
C,3em4,8691213,55,-0.120330,0.013280,0.1090,0.5430,+0.000790
C,3em4,8691213,56,-0.135090,0.013090,0.0900,0.5030,+0.000900
C,3em4,8691213,57,-0.142300,0.013500,0.1010,0.5380,+0.000780
C,3em4,8691213,58,-0.132250,0.014330,0.1160,0.5480,+0.001300
C,3em4,8691213,59,-0.155490,0.014050,0.1130,0.5530,+0.001250
C,3em4,8691213,60,-0.122850,0.012140,0.0960,0.5330,+0.000640
C,3em4,8691213,61,-0.146550,0.012720,0.1030,0.5380,+0.001300
C,3em4,8691213,62,-0.144180,0.010440,0.0870,0.5330,+0.000530
C,3em4,8691213,63,-0.135590,0.009860,0.0690,0.5180,+0.000380
C,3em4,8691213,64,-0.151230,0.012220,0.0870,0.5130,+0.000630
C,3em4,8691213,65,-0.126510,0.011230,0.0900,0.5230,+0.000820
C,3em4,8691213,66,-0.132360,0.016360,0.1320,0.5690,+0.001380
C,3em4,8691213,67,-0.143370,0.013490,0.1050,0.5530,+0.001210
C,3em4,8691213,68,-0.138110,0.012600,0.1010,0.5430,+0.001150
C,3em4,8691213,69,-0.151530,0.014420,0.1190,0.5690,+0.001420
C,3em4,8691213,70,-0.132560,0.014060,0.0990,0.5230,+0.001170
C,3em4,8691213,71,-0.148480,0.014790,0.1240,0.5740,+0.001310
C,3em4,8691213,72,-0.149790,0.014620,0.1070,0.5480,+0.001230
C,3em4,8691213,73,-0.138930,0.013340,0.1040,0.5280,+0.001120
C,3em4,8691342,74,-0.157330,0.015680,0.1200,0.5480,+0.001110
C,3em4,8691342,75,-0.133660,0.014370,0.1020,0.5530,+0.001070
C,3em4,8691342,76,-0.142140,0.015080,0.1320,0.6040,+0.001480
C,3em4,8691342,77,-0.145420,0.013210,0.1010,0.5380,+0.001070
C,3em4,8691342,78,-0.140560,0.015060,0.1220,0.5530,+0.001270
C,3em4,8691342,79,-0.157710,0.014010,0.0980,0.5380,+0.001140
C,3em4,8691342,80,-0.135820,0.015040,0.1250,0.5690,+0.001250
C,3em4,8691342,81,-0.147380,0.011750,0.0960,0.5280,+0.001000
C,3em4,8691342,82,-0.153680,0.015140,0.1180,0.5690,+0.001010
C,3em4,8691342,83,-0.142650,0.013730,0.1000,0.5430,+0.001120
C,3em4,8691342,84,-0.156280,0.012950,0.0940,0.5280,+0.000980
C,3em4,8691342,85,-0.134810,0.012200,0.1030,0.5330,+0.000760
C,3em4,8691342,86,-0.143190,0.011620,0.0880,0.5380,+0.001010
C,3em4,8691342,87,-0.151360,0.014370,0.1100,0.5580,+0.001180
C,3em4,8691342,88,-0.146600,0.013000,0.0980,0.5330,+0.000820
C,3em4,8691342,89,-0.161540,0.013150,0.0950,0.5130,+0.001000
C,3em4,8691342,90,-0.143840,0.013550,0.1030,0.5330,+0.000700
C,3em4,8691342,91,-0.151770,0.013680,0.1100,0.5230,+0.000760
C,3em4,8691342,92,-0.158990,0.013850,0.1050,0.5330,+0.001200
C,3em4,8691342,93,-0.150170,0.013440,0.1070,0.5530,+0.001140
C,3em4,8691342,94,-0.166190,0.014920,0.1270,0.5990,+0.001400
C,3em4,8691342,95,-0.145790,0.015750,0.1230,0.5380,+0.001480
C,3em4,8691342,96,-0.148000,0.015200,0.1260,0.5480,+0.001420
C,3em4,8691342,97,-0.158510,0.011800,0.1000,0.5330,+0.000910
C,3em4,8691342,98,-0.148070,0.015120,0.1170,0.5430,+0.001280
C,3em4,8691342,99,-0.165180,0.014010,0.1160,0.5430,+0.000950
C,3em4,8691342,100,-0.142800,0.014190,0.1100,0.5330,+0.001280
C,3em4,8691342,101,-0.151910,0.013180,0.1030,0.5430,+0.000920
C,3em4,8691342,102,-0.164580,0.009710,0.0820,0.5030,+0.000470
C,3em4,8691342,103,-0.148320,0.012760,0.1050,0.5230,+0.001300
C,3em4,8691342,104,-0.173250,0.012820,0.1020,0.5630,+0.001280
C,3em4,8691342,105,-0.142770,0.011780,0.0990,0.5230,+0.001030
C,3em4,8691342,106,-0.155860,0.014350,0.1180,0.5130,+0.001140
C,3em4,8691342,107,-0.164050,0.013630,0.1100,0.5630,+0.001320
C,3em4,8691342,108,-0.161660,0.013020,0.1050,0.5530,+0.000950
C,3em4,8691342,109,-0.168840,0.013860,0.1110,0.5480,+0.001020
C,3em4,8691342,110,-0.145790,0.016100,0.1340,0.5630,+0.001490
C,3em4,8691342,111,-0.143360,0.009590,0.0880,0.4920,+0.000840
C,3em4,8691342,112,-0.166880,0.014750,0.1050,0.5130,+0.001160
C,3em4,8691342,113,-0.155410,0.009040,0.0770,0.4920,+0.000540
C,3em4,8691342,114,-0.169510,0.011180,0.0890,0.5430,+0.001030
C,3em4,8691342,115,-0.155270,0.014250,0.1090,0.5580,+0.001020
C,3em4,8691342,116,-0.161970,0.011510,0.1020,0.5280,+0.000920
C,3em4,8691342,117,-0.159130,0.010220,0.0800,0.5130,+0.000760
C,3em4,8691342,118,-0.152930,0.011190,0.0980,0.5580,+0.000670
C,3em4,8691342,119,-0.176710,0.013170,0.1080,0.5530,+0.001110
C,3em4,8691342,120,-0.154230,0.013960,0.1070,0.5480,+0.001240
C,3em4,8691342,121,-0.154640,0.010380,0.0900,0.5030,+0.001060
C,3em4,8691342,122,-0.158950,0.012660,0.0950,0.5430,+0.000930
C,3em4,8691342,123,-0.151400,0.014760,0.1170,0.5630,+0.001170
C,3em4,8691342,124,-0.174980,0.014170,0.1060,0.5430,+0.001070
C,3em4,8691342,125,-0.147800,0.011850,0.0980,0.5580,+0.000930
C,3em4,8691342,126,-0.163180,0.014800,0.1270,0.5690,+0.001270
C,3em4,8691342,127,-0.173300,0.011260,0.0930,0.5580,+0.001290
C,3em4,8691342,128,-0.158270,0.013330,0.1020,0.5430,+0.001230
C,3em4,8691342,129,-0.178350,0.014360,0.1220,0.5580,+0.001030
C,3em4,8691342,130,-0.145800,0.011890,0.1020,0.5630,+0.000770
C,3em4,8691342,131,-0.163690,0.012950,0.1070,0.5580,+0.000990
C,3em4,8691342,132,-0.161480,0.011740,0.0960,0.5330,+0.001110
C,3em4,8691342,133,-0.160070,0.011010,0.1020,0.5380,+0.001250
C,3em4,8691342,134,-0.178120,0.011740,0.0950,0.5480,+0.000900
C,3em4,8691342,135,-0.157830,0.013760,0.1140,0.5580,+0.001310
C,3em4,8691342,136,-0.169760,0.013720,0.1110,0.5380,+0.001360
C,3em4,8691342,137,-0.167390,0.011630,0.1120,0.5280,+0.000980
C,3em4,8691342,138,-0.164320,0.010770,0.0900,0.5530,+0.000970
C,3em4,8691342,139,-0.177800,0.014400,0.1180,0.5790,+0.001330
C,3em4,8691342,140,-0.155640,0.012330,0.1120,0.5530,+0.000980
C,3em4,8691342,141,-0.164780,0.013370,0.1250,0.5790,+0.001300
C,3em4,8691342,142,-0.168620,0.012230,0.0950,0.5380,+0.000760
C,3em4,8691342,143,-0.162980,0.012040,0.1010,0.5480,+0.001010
C,3em4,8691342,144,-0.178160,0.011960,0.1010,0.5530,+0.000660
C,3em4,8691342,145,-0.154990,0.012210,0.1150,0.5280,+0.000900
C,3em4,8691342,146,-0.164740,0.010170,0.0850,0.5280,+0.000870
C,3em4,8691342,147,-0.178700,0.008200,0.0800,0.5330,+0.000780
C,3em4,8691342,148,-0.159560,0.012210,0.1050,0.5280,+0.000880
C,3em4,8691342,149,-0.179390,0.012310,0.1100,0.5480,+0.000920
